timestamp,resolution,playback_mode,buffer,rsrp,thput
2019-09-21 13:59:32.944,6,1,36.939389,-103,412022
2019-09-21 13:59:33.954,6,1,52.730346,-103,418912
2019-09-21 13:59:34.961,6,1,51.72245,-103,403754
2019-09-21 13:59:35.973,6,1,60.0652,-103,374816
2019-09-21 13:59:36.981,6,1,59.057801,-103,124020
2019-09-21 13:59:37.989,6,1,58.04901,-103,150202
2019-09-21 13:59:38.995,6,1,57.041992,-103,147446
2019-09-21 13:59:40.005,6,1,56.034348,-103,85436
2019-09-21 13:59:41.016,6,1,55.024714,-103,79924
2019-09-21 13:59:42.026,6,1,54.011031,-103,292136
2019-09-21 13:59:43.035,6,1,63.015404,-103,133666
2019-09-21 13:59:44.044,6,1,62.004922,-103,180518
2019-09-21 13:59:45.055,6,1,60.99437,-103,151580
2019-09-21 13:59:46.061,6,1,59.986906,-103,206724
2019-09-21 13:59:47.075,6,1,58.972862,-103,237016
2019-09-21 13:59:48.081,6,1,57.96753,-103,109830
2019-09-21 13:59:49.089,6,1,60.794856,-103,362414
2019-09-21 13:59:50.098,6,1,59.787849,-103,356902
2019-09-21 13:59:51.109,6,1,58.776762,-103,367926
2019-09-21 13:59:52.123,6,1,59.267701,-103,341744
2019-09-21 13:59:53.130,6,1,58.257358,-103,293514
2019-09-21 13:59:54.138,6,1,57.249434,-103,216346
2019-09-21 13:59:55.146,6,1,56.24191,-103,412022
2019-09-21 13:59:56.158,6,1,55.230166,-103,454740
2019-09-21 13:59:57.178,6,1,59.558414,-103,403754
2019-09-21 13:59:58.189,6,1,58.539637,-103,275600
2019-09-21 14:00:09.404,4,1,11.45529,-103,129532
2019-09-21 14:00:10.412,4,1,11.862558,-103,248040
2019-09-21 14:00:11.423,4,1,10.852616,-103,112996
2019-09-21 14:00:12.431,5,1,15.482488,-103,141934
2019-09-21 14:00:13.445,5,1,14.467572,-103,354142
2019-09-21 14:00:14.451,5,1,13.462746,-103,288002
2019-09-21 14:00:15.458,5,1,12.455417,-103,376194
2019-09-21 14:00:16.469,5,1,11.447155,-103,64384
2019-09-21 14:00:17.479,5,1,10.435073,-103,225992
2019-09-21 14:00:18.490,5,1,9.425042,-103,146068
2019-09-21 14:00:19.502,5,1,8.414088,-103,150202
2019-09-21 14:00:20.511,5,1,7.40208,-103,275600
2019-09-21 14:00:21.524,5,1,6.38994,-103,387218
2019-09-21 14:00:22.540,5,1,5.375732,-103,399620
2019-09-21 14:00:23.550,6,1,8.106112,-103,460252
2019-09-21 14:00:24.560,6,1,7.093786,-103,442338
2019-09-21 14:00:25.573,6,1,6.082797,-103,498836
2019-09-21 14:00:26.582,6,1,5.072026,-103,254930
2019-09-21 14:00:27.592,6,1,4.062493,-103,235638
2019-09-21 14:00:28.605,6,1,3.052999,-103,344500
2019-09-21 14:00:29.616,6,1,2.039417,-103,367926
2019-09-21 14:00:30.626,6,1,1.028601,-103,373438
2019-09-21 14:00:31.637,6,3,0.088258,-103,381706
2019-09-21 14:00:32.647,6,3,0.088258,-103,293128
2019-09-21 14:00:33.659,6,3,0.088258,-103,190164
2019-09-21 14:00:34.667,6,3,0.088258,-103,286624
2019-09-21 14:00:35.677,6,3,0.088258,-103,394108
2019-09-21 14:00:36.685,6,3,0.088258,-103,326586
2019-09-21 14:00:37.694,6,3,0.088258,-103,260442
2019-09-21 14:00:38.708,6,3,0.088258,-103,299026
2019-09-21 14:00:39.717,6,1,2.918239,-103,345878
2019-09-21 14:00:40.729,6,1,15.784986,-103,337610
2019-09-21 14:00:41.738,6,1,24.778199,-103,361036
2019-09-21 14:00:42.745,6,1,43.769026,-103,276978
2019-09-21 14:00:43.757,6,1,42.760941,-103,256308
2019-09-21 14:00:44.765,6,1,53.538901,-103,362414
2019-09-21 14:00:45.777,6,1,52.528761,-103,407888
2019-09-21 14:00:46.812,6,1,51.490899,-103,487812
2019-09-21 14:00:47.822,6,1,55.237838,-103,377572
2019-09-21 14:00:48.830,6,1,54.227663,-103,272458
2019-09-21 14:00:49.843,6,1,53.215618,-103,27560
2019-09-21 14:00:50.852,6,1,52.207364,-103,268710
2019-09-21 14:00:51.860,6,1,56.661529,-103,424424
2019-09-21 14:00:52.874,6,1,55.651253,-103,421668
2019-09-21 14:00:53.883,6,1,54.638827,-103,420290
2019-09-21 14:00:54.896,6,1,53.625642,-103,450606
2019-09-21 14:00:55.908,6,1,52.618003,-103,450606
2019-09-21 14:00:56.914,6,1,57.029784,-103,558090
2019-09-21 14:00:57.925,6,1,56.021933,-103,472654
2019-09-21 14:00:58.934,6,1,55.01158,-103,345878
2019-09-21 14:00:59.944,6,1,54.000119,-103,265954
2019-09-21 14:01:00.951,6,1,55.56482,-103,387218
2019-09-21 14:01:01.962,6,1,54.554675,-103,239772
2019-09-21 14:01:02.971,6,1,53.546622,-103,374816
2019-09-21 14:01:03.980,6,1,55.303454,-103,134658
2019-09-21 14:01:04.988,6,1,54.296788,-103,553956
2019-09-21 14:01:05.995,6,1,53.288208,-103,323830
2019-09-21 14:01:07.008,6,1,52.28099,-103,239772
2019-09-21 14:01:08.017,6,1,56.605014,-103,281112
2019-09-21 14:01:09.029,6,1,55.59281,-103,343122
2019-09-21 14:01:10.037,6,1,54.585915,-103,314184
2019-09-21 14:01:11.046,6,1,53.575883,-103,304538
2019-09-21 14:01:12.059,6,1,57.905193,-103,261820
2019-09-21 14:01:13.067,6,1,56.893879,-103,261820
2019-09-21 14:01:14.076,6,1,55.884227,-103,248040
2019-09-21 14:01:15.083,6,1,60.216866,-103,253552
2019-09-21 14:01:16.095,6,1,59.206381,-103,234260
2019-09-21 14:01:17.105,6,1,58.197924,-103,264576
2019-09-21 14:01:18.114,6,1,57.186292,-103,399620
2019-09-21 14:01:19.123,6,1,56.178549,-103,391352
2019-09-21 14:01:20.131,6,1,60.632739,-103,351390
2019-09-21 14:01:21.144,6,1,59.619278,-103,215960
2019-09-21 14:01:22.153,6,1,58.611855,-103,88192
2019-09-21 14:01:23.162,6,1,62.604713,-103,321074
2019-09-21 14:01:24.169,6,1,61.597848,-103,343122
2019-09-21 14:01:25.174,6,1,60.589577,-103,271466
2019-09-21 14:01:26.182,6,1,60.330575,-103,163982
2019-09-21 14:01:27.189,6,1,59.321053,-103,253552
2019-09-21 14:01:28.195,6,1,63.03036,-103,338988
2019-09-21 14:01:29.207,6,1,62.017361,-103,471276
2019-09-21 14:01:30.217,6,1,61.011298,-103,447850
2019-09-21 14:01:31.224,6,1,65.422932,-103,420290
2019-09-21 14:01:32.235,6,1,64.411904,-103,348634
2019-09-21 14:01:33.241,6,1,63.403546,-103,365170
2019-09-21 14:01:34.255,6,1,62.389333,-103,272844
2019-09-21 14:01:35.263,6,1,61.383047,-103,245284
2019-09-21 14:01:36.268,6,1,60.3748,-103,250796
2019-09-21 14:01:37.279,6,1,59.367932,-103,245284
2019-09-21 14:01:38.287,6,1,58.356132,-103,250796
2019-09-21 14:01:39.295,6,1,68.025063,-103,370649
2019-09-21 14:01:40.303,6,1,67.015607,-103,297502
2019-09-21 14:01:41.313,6,1,66.006991,-103,521351
2019-09-21 14:01:42.320,6,1,64.998167,-103,330054
2019-09-21 14:01:43.331,6,1,63.987468,-103,277130
2019-09-21 14:01:44.338,6,1,62.979088,-103,511645
2019-09-21 14:01:45.347,6,1,67.307241,-103,484840
2019-09-21 14:01:46.358,6,1,66.299283,-103,379664
2019-09-21 14:01:47.366,6,1,65.28691,-103,476087
2019-09-21 14:01:48.378,6,1,64.274413,-103,312500
2019-09-21 14:01:49.389,6,1,63.266835,-103,370436
2019-09-21 14:01:50.396,6,1,62.255723,-103,519911
2019-09-21 14:01:51.409,6,1,65.957277,-103,568546
2019-09-21 14:01:52.418,6,1,64.947047,-103,417862
2019-09-21 14:01:53.428,6,1,63.934072,-103,573375
2019-09-21 14:01:54.437,6,1,62.928398,-103,494871
2019-09-21 14:01:55.442,6,1,67.215928,-103,479768
2019-09-21 14:01:56.454,6,1,66.207618,-103,475857
2019-09-21 14:01:57.460,6,1,65.196938,-103,396717
2019-09-21 14:01:58.472,6,1,64.184744,-103,266418
2019-09-21 14:01:59.480,6,1,63.177233,-103,502330
2019-09-21 14:02:00.490,6,1,62.165889,-103,471651
2019-09-21 14:02:01.503,6,1,66.494397,-103,388846
2019-09-21 14:02:02.514,6,1,65.483189,-103,379788
2019-09-21 14:02:03.523,6,1,64.470165,-103,415407
2019-09-21 14:02:04.535,6,1,63.458727,-105,451484
2019-09-21 14:02:16.050,5,1,3.819523,-104,259631
2019-09-21 14:02:17.060,5,1,12.468642,-104,471713
2019-09-21 14:02:18.071,5,1,11.455307,-104,441164
2019-09-21 14:02:19.082,5,1,10.44422,-104,546723
2019-09-21 14:02:20.094,5,1,9.432707,-104,373669
2019-09-21 14:02:21.111,6,1,19.880164,-104,566895
2019-09-21 14:02:22.118,6,1,18.864208,-104,480944
